section,method,n,threads,theta,ms_step,build_ms,traverse_ms
sweep,naive,1024,1,0.00,0.9910,0.0000,0.0000
sweep,naive,4096,1,0.00,16.5678,0.0000,0.0000
sweep,naive,16384,1,0.00,273.5905,0.0000,0.0000
sweep,naive_mt,4096,8,0.00,4.0937,0.0000,0.0000
sweep,naive_mt,16384,8,0.00,64.0595,0.0000,0.0000
sweep,naive_mt,65536,8,0.00,1081.7769,0.0000,0.0000
sweep,simd,1024,1,0.00,0.5151,0.0000,0.0000
sweep,simd,4096,1,0.00,7.0313,0.0000,0.0000
sweep,simd,16384,1,0.00,114.6889,0.0000,0.0000
sweep,simd,65536,1,0.00,1807.0718,0.0000,0.0000
sweep,simd_mt,4096,8,0.00,1.8448,0.0000,0.0000
sweep,simd_mt,16384,8,0.00,27.1593,0.0000,0.0000
sweep,simd_mt,65536,8,0.00,433.3341,0.0000,0.0000
sweep,simd_mt,131072,8,0.00,1846.4790,0.0000,0.0000
sweep,bh_mt,16384,8,0.50,14.0686,1.0136,13.0001
sweep,bh_mt,65536,8,0.50,69.7801,4.5960,65.2886
sweep,bh_mt,262144,8,0.50,306.5416,19.7453,285.3853
sweep,bh_mt,1048576,8,0.50,1479.4693,94.5336,1381.9957
scaling,simd_mt,32768,1,0.00,461.2074,0.0000,0.0000
scaling,simd_mt,32768,2,0.00,233.5412,0.0000,0.0000
scaling,simd_mt,32768,4,0.00,134.5002,0.0000,0.0000
scaling,simd_mt,32768,6,0.00,131.1714,0.0000,0.0000
scaling,simd_mt,32768,8,0.00,126.9081,0.0000,0.0000
